id,text,label
42,"' ( Hopkins ) doesn't so much phone in his performance as fax it . No , even that's too committed . He gets his secretary to fax it . ''",negative
43,"A big , gorgeous , sprawling swashbuckler that delivers its diversions in grand , uncomplicated fashion .",positive
44,"... both hokey and super-cool , and definitely not in a hurry , so sit back , relax and have a few laughs while the little ones get a fuzzy treat . '",positive
45,' ( The Cockettes ) provides a window into a subculture hell-bent on expressing itself in every way imaginable . ',positive
46,A bloated gasbag thesis grotesquely impressed by its own gargantuan aura of self-importance ...,negative
47,... breathes surprising new life into the familiar by amalgamating genres and adding true human complexity to its not-so-stock characters . ',positive
48,' ( the cockettes ) provides a window into a subculture hell-bent on expressing itself in every way imaginable,negative
49,"A breezy romantic comedy that has the punch of a good sitcom , while offering exceptionally well-detailed characters .",positive
50,... fifty minutes of tedious adolescent melodramatics followed by thirty-five minutes of inflated nonsense .,negative
51,"' ... Despite lagging near the finish line , the movie runs a good race , one that will have you at the edge of your seat for long stretches . '",positive
52,"A broad , melodramatic estrogen opera that's pretty toxic in its own right .",negative
53,... has virtually no script at all ...,negative
54,"' ... a great , participatory spectator sport . '",positive
55,"A celebration of quirkiness , eccentricity , and certain individuals ' tendency to let it all hang out , and damn the consequences .",positive
56,"... mesmerizing , an eye-opening tour of modern Beijing culture in a journey of rebellion , retreat into oblivion and return .",positive
57,"' ... both hokey and super-cool , and definitely not in a hurry , so sit back , relax and have a few laughs while the little ones get a fuzzy treat . '",positive
58,A coarse and stupid gross-out .,negative
59,... one of the most ingenious and entertaining thrillers I've seen in quite a long time .,positive
60,"' ... the film's considered approach to its subject matter is too calm and thoughtful for agitprop , and the thinness of its characterizations makes it a failure as straight drama . '",negative
61,"A coda in every sense , The Pinochet Case splits time between a minute-by-minute account of the British court's extradition chess game and the regime's talking-head survivors .",positive
62,"... perhaps the heaviest , most joyless movie ever made about giant dragons taking over the world .",negative
63,"' A fresh-faced , big-hearted and frequently funny thrill ride for the kiddies , with enough eye candy and cheeky wit to keep parents away from the concession stand . '",positive
64,A compelling Spanish film about the withering effects of jealousy in the life of a young monarch whose sexual passion for her husband becomes an obsession .,positive
65,... surprisingly inert for a movie in which the main character travels back and forth between epochs .,negative
66,' I feel better already .,positive
67,A deep and meaningful film .,positive
68,"... the film falls back on the same old formula of teen sex , outrageous pranks and scenes designed to push the envelope of bad taste for laughs .",negative
69,' I know how to suffer ' and if you see this film you'll know too .,negative
70,"A delectable and intriguing thriller filled with surprises , Read My Lips is an original .",positive
71,... the last time I saw a theater full of people constantly checking their watches was during my SATs .,negative
72,"' I once had a nightmare like this ,",negative
73,A delightful coming-of-age story .,positive
74,... the sum of the parts equals largely a confused mediocrity .,negative
75,"' Michael Moore gives us the perfect starting point for a national conversation about guns , violence , and fear .",positive
76,"A densely constructed , highly referential film , and an audacious return to form that can comfortably sit among Jean-Luc Godard's finest work .",positive
77,... there are enough moments of heartbreaking honesty to keep one glued to the screen .,positive
78,' a nightmare on elm street ' or ` the hills,negative
79,"A disappointment for those who love alternate versions of the Bard , particularly ones that involve deep fryers and hamburgers .",negative
80,... too dull to enjoy .,negative
81,"' a perfect family film , ' because it's about family",positive
82,"A fitfully amusing romp that , if nothing else , will appeal to fans of Malcolm in the Middle and its pubescent star , Frankie Muniz .",positive
83,"... with the candy-like taste of it fading faster than 25-cent bubble gum , I realized this is a throwaway movie that won't stand the test of time .",negative
84,' and ` realistic ',positive
85,"A full world has been presented onscreen , not some series of carefully structured plot points building to a pat resolution .",positive
86,"4 friends , 2 couples , 2000 miles , and all the Pabst Blue Ribbon beer they can drink - it's the ultimate redneck road-trip .",positive
87,' appeared in 1938,positive
88,A giggle a minute .,positive
89,"A 93-minute condensation of a 26-episode TV series , with all of the pitfalls of such you'd expect .",negative
90,' begins and ends with scenes so terrifying I'm still stunned . And I've decided to leave a light on every night from now on .,positive
91,A good piece of work more often than not .,positive
92,A TV episode inflated past its natural length .,negative
93,' cheats on itself and retreats to comfortable territory . Too bad .,negative
94,"A gorgeous , high-spirited musical from India that exquisitely blends music , dance , song , and high drama .",positive
95,A beautiful and haunting examination of the stories we tell ourselves to make sense of the mundane horrors of the world .,positive
96,"' dwells on crossing-over mumbo jumbo , manipulative sentimentality , and sappy dialogue .",negative
97,"A gorgeous , witty , seductive movie .",positive
98,A benign but forgettable sci-fi diversion .,negative
99,' hanging over the film,negative
100,A great ensemble cast can't lift this heartfelt enterprise out of the familiar .,negative
101,A bit of an unwieldy mess .,negative
102,' has some visual wit ... but little imagination elsewhere .,negative
103,A grimly competent and stolid and earnest military courtroom drama .,positive
104,A blessed gift to film geeks and historians .,positive
105,' is a good name for a movie this delibrately obtuse and unapproachable .,negative
106,"A gripping movie , played with performances that are all understated and touching .",positive
107,"A bold and subversive film that cuts across the grain of what is popular and powerful in this high-tech age , speaking its truths with spellbinding imagery and the entrancing music of Philip Glass .",positive
108,' is a movie about a bus wreck that turns into a film wreck .,negative
109,A hamfisted romantic comedy that makes our girl the hapless facilitator of an extended cheap shot across the Mason-Dixon line .,negative
110,"A boring , formulaic mix of serial killers and stalk 'n' slash .",negative
111,' is banal in its message and the choice of material to convey it .,negative
112,"A lackluster , unessential sequel to the classic Disney adaptation of J.M. Barrie's Peter Pan .",negative
113,"A boring , wincingly cute and nauseatingly politically correct cartoon guaranteed to drive anyone much over age 4 screaming from the theater .",negative
114,' is the kind of engaging historical drama that Hollywood appears to have given up on in favor of sentimental war movies in the vein of ` We Were Soldiers . ',positive
115,"A lean , deftly shot , well-acted , weirdly retro thriller that recalls a raft of '60s and '70s European-set spy pictures .",positive
116,"A bowel-curdling , heart-stopping recipe for terror .",positive
117,' it also rocks .,positive
118,A literate presentation that wonderfully weaves a murderous event in 1873 with murderous rage in 2002 .,positive
119,A bravura exercise in emptiness .,negative
120,' it is far too self-conscious to draw you deeply into its world .,negative
121,A marvel like none you've seen .,positive
122,"A breezy , diverting , conventional , well-acted tale of two men locked in an ongoing game of cat-and-cat .",positive
123,' left me with a very bad feeling .,negative
124,"A misogynistic piece of filth that attempts to pass itself off as hip , young adult entertainment .",negative
125,"A broadly played , lowbrow comedy in which the cast delivers mildly amusing performances and no farm animals were injured by any of the gags .",positive
126,' rip-off,negative
127,"A moody , multi-dimensional love story and sci-fi mystery , Solaris is a thought-provoking , haunting film that allows the seeds of the imagination to germinate .",positive
128,A byzantine melodrama that stimulates the higher brain functions as well as the libido .,positive
129,' romantic,positive
130,A movie that reminds us of just how exciting and satisfying the fantasy cinema can be when it's approached with imagination and flair .,positive
131,A candid and often fascinating documentary about a Pentecostal church in Dallas that assembles an elaborate haunted house each year to scare teenagers into attending services .,positive
132,' should never have been brought out of hibernation,negative
133,A movie that successfully crushes a best selling novel into a timeframe that mandates that you avoid the Godzilla sized soda .,positive
134,A captivating cross-cultural comedy of manners .,positive
135,"' shows a level of young , Black manhood that is funny , touching , smart and complicated .",positive
136,A movie with a real anarchic flair .,positive
137,A carefully structured scream of consciousness that is tortured and unsettling -- but unquestionably alive .,positive
138,' shows he's on his way,positive
139,"A must-see for the David Mamet enthusiast and for anyone who appreciates intelligent , stylish moviemaking .",positive
140,A chaotic panorama that's too busy flying a lot of metaphoric flags .,negative
141,' swims away with the Sleeper Movie of the Summer award .,positive
142,A painfully funny ode to bad behavior .,positive
143,"A charming , quirky and leisurely paced Scottish comedy -- except with an outrageous central gimmick that could have been a reject from Monty Python's Meaning of Life .",positive
144,' the play more has partly closed it down .,negative
145,"A pleasant enough romance with intellectual underpinnings , the kind of movie that entertains even as it turns maddeningly predictable .",positive
146,A charming romantic comedy that is by far the lightest Dogme film and among the most enjoyable .,positive
147,' this schlock-filled fairy tale hits new depths of unoriginality and predictability .,negative
148,"A poignant , artfully crafted meditation on mortality .",positive
149,A charming yet poignant tale of the irrevocable ties that bind .,positive
150,' tries to force its quirkiness upon the audience .,negative
151,"A poignant and compelling story about relationships , Food of Love takes us on a bumpy but satisfying journey of the heart .",positive
152,A classy item by a legend who may have nothing left to prove but still has the chops and drive to show how its done .,positive
153,' will appeal to No One,negative
154,"A psychological thriller with a genuinely spooky premise and an above-average cast , actor Bill Paxton's directing debut is a creepy slice of gothic rural Americana .",positive
155,A clever blend of fact and fiction .,positive
156,'' ... something appears to have been lost in the translation this time . The Importance of Being Earnest movie seems to be missing a great deal of the acerbic repartee of the play . '',negative
157,A quiet treasure -- a film to be savored .,positive
158,"A clutchy , indulgent and pretentious travelogue and diatribe against ... well , just stuff .",negative
159,'' 13 Conversations About One Thing '' is an intelligent flick that examines many different ideas from happiness to guilt in an intriguing bit of storytelling .,positive
160,A rarity among recent Iranian films : It's a comedy full of gentle humor that chides the absurdity of its protagonist's plight .,positive
161,A cockamamie tone poem pitched precipitously between swoony lyricism and violent catastrophe ... the most aggressively nerve-wracking and screamingly neurotic romantic comedy in cinema history .,positive
162,"'' 13 conversations '' holds its goodwill close , but is relatively slow to come to the point .",negative
163,A rigorously structured and exquisitely filmed drama about a father and son connection that is a brief shooting star of love .,positive
164,"A compelling , moving film that respects its audience and its source material .",positive
165,'' A Walk to Remember '' succeeds through sincerity .,positive
166,A romantic comedy enriched by a sharp eye for manners and mores .,positive
167,A compendium of Solondz's own worst instincts in under 90 minutes .,negative
168,'' Abandon '' will leave you wanting to abandon the theater .,negative
169,A science-fiction pastiche so lacking in originality that if you stripped away its inspirations there would be precious little left .,negative
170,"A comprehensive and provocative film -- one that pushes the boundaries of biography , and challenges its audience .",positive
171,'' American Beauty,positive
172,A sequel that's much too big for its britches .,negative
173,A cop story that understands the medium amazingly well .,positive
174,"'' Analyze That '' is one of those crass , contrived sequels that not only fails on its own , but makes you second-guess your affection for the original .",negative
175,A sequence of ridiculous shoot - 'em - up scenes .,negative
176,A cumbersome and cliche-ridden movie greased with every emotional device known to man .,negative
177,"'' Antwone Fisher '' is an earnest , by-the-numbers effort by Washington . It won't rock any boats but is solid meat-and-potatoes filmmaking .",positive
178,"A simple , but gritty and well-acted ensemble drama that encompasses a potent metaphor for a country still dealing with its fascist past .",positive
179,"A deceivingly simple film , one that grows in power in retrospect .",positive
180,'' Austin Powers in Goldmember '' has the right stuff for silly summer entertainment and has enough laughs to sustain interest to the end .,positive
181,"A smart , witty follow-up .",positive
182,"A deliciously mordant , bitter black comedy .",positive
183,'' Auto Focus '' works as an unusual biopic and document of male swingers in the Playboy era,positive
184,A solid examination of the male midlife crisis .,positive
185,"A depressing confirmation of everything those of us who don't object to the description `` unelected '' have suspected all along : George W. Bush is an incurious , uncharismatic , overgrown frat boy with a mean streak a mile wide .",negative
186,"'' Bad '' is the operative word for '' Bad Company , '' and I don't mean that in a good way .",negative
187,A solid film ... but more conscientious than it is truly stirring .,positive
188,A deviant topical comedy which is funny from start to finish .,positive
189,'' Being Earnest '',positive
190,A sometimes tedious film .,negative
191,A didactic and dull documentary glorifying software anarchy .,negative
192,"'' Big Deal on Madonna Street '' that's a sly , amusing , laugh-filled little gem in which the ultimate '' Bellini '' begins to look like a '' real Kaputschnik",positive
193,"A spellbinding African film about the modern condition of rootlessness , a state experienced by millions around the globe .",positive
194,"A distant , even sterile , yet compulsively watchable look at the sordid life of Hogan's Heroes star Bob Crane .",positive
195,'' Birthday Girl '' is an actor's movie first and foremost .,positive
196,A strangely compelling and brilliantly acted psychological drama .,positive
197,A dreadful live-action movie .,negative
198,'' Brown Sugar '' admirably aspires to be more than another '' Best Man '' clone by weaving a theme throughout this funny film .,positive
199,A string of rehashed sight gags based in insipid vulgarity .,negative
200,A dream cast of solid female talent who build a seamless ensemble .,positive
201,"'' Catch Me '' feels capable of charming the masses with star power , a pop-induced score and sentimental moments that have become a Spielberg trademark .",positive
202,"A study in shades of gray , offering itself up in subtle plot maneuvers ...",positive
203,"A dreary , incoherent , self-indulgent mess of a movie in which a bunch of pompous windbags drone on inanely for two hours ... a cacophony of pretentious , meaningless prattle .",negative
204,'' Cremaster 3 '' should come with the warning '' For serious film buffs only ! '',negative
205,A subject like this should inspire reaction in its audience ; The Pianist does not .,negative
206,A dreary rip-off of Goodfellas that serves as a muddled and offensive cautionary tale for Hispanic Americans .,negative
207,'' Derrida is an undeniably fascinating and playful fellow .,positive
208,A superbly acted and funny\/gritty fable of the humanizing of one woman at the hands of the unseen forces of fate .,positive
209,"A droll , well-acted , character-driven comedy with unexpected deposits of feeling .",positive
210,'' Elling '',negative
211,"A swashbuckling tale of love , betrayal , revenge and above all , faith .",positive
212,A fairly by-the-books blend of action and romance with sprinklings of intentional and unintentional comedy .,positive
213,"'' Extreme Ops '' exceeds expectations . Good fun , good action , good acting , good dialogue , good pace , good cinematography .",positive
214,A synthesis of cliches and absurdities that seems positively decadent in its cinematic flash and emptiness .,negative
215,A fascinating and fun film .,positive
216,"'' Extreme Ops '' was obviously made for the '' XXX '' crowd , people who enjoy mindless action without the benefit of decent acting , writing , and direction .",negative
217,A taut psychological thriller that doesn't waste a moment of its two-hour running time .,positive
218,A fast-moving and remarkable film that appears destined to become a landmark in Japanese animation .,positive
219,'' Far From Heaven '' is a masterpiece .,positive
220,"A tender , heartfelt family drama .",positive
221,A feel-good picture in the best sense of the term .,positive
222,"'' Frailty '' has been written so well , that even a simple '' Goddammit ! '' near the end takes on a whole other meaning .",positive
223,"A tender , witty , captivating film about friendship , love , memory , trust and loyalty .",positive
224,"A film made with as little wit , interest , and professionalism as artistically possible for a slummy Hollywood caper flick .",negative
225,'' Goddammit,negative
226,A valueless kiddie paean to pro basketball underwritten by the NBA .,negative
227,A film of precious increments artfully camouflaged as everyday activities .,positive
228,"'' Hey , the movie about the baseball-playing monkey was worse . ''",negative
229,"A very long movie , dull in stretches , with entirely too much focus on meal preparation and igloo construction .",negative
230,A film so tedious that it is impossible to care whether that boast is true or not .,negative
231,'' His Best Friend Remembers '',positive
232,"A very well-made , funny and entertaining picture .",positive
233,A film that is a portrait of grace in an imperfect world .,positive
234,'' Home Movie '' is a sweet treasure and something well worth your time .,positive
235,"A warm , funny , engaging film .",positive
236,A film that takes you inside the rhythms of its subject : You experience it as you watch .,positive
237,"'' I guess I come from a broken family ,",negative
238,"A warm but realistic meditation on friendship , family and affection .",positive
239,"A frantic search for laughs , with a hit-to-miss ratio that doesn't exactly favour the audience .",negative
240,'' Imitation,negative
241,A wildly inconsistent emotional experience .,negative
242,"A free-for-all of half-baked thoughts , clumsily used visual tricks and self-indulgent actor moments .",negative
243,'' Laissez-passer '',negative
244,A woman's pic directed with resonance by Ilya Chaiken .,positive
245,A frisky and fresh romantic comedy exporing sexual politics and the challenges of friendships between women .,positive
246,"'' Lilo & Stitch '' isn't the most edgy piece of Disney animation to hit the silver screen , then this first film to use a watercolor background since '' Dumbo '' certainly ranks as the most original in years .",positive
247,A working class `` us vs. them '' opera that leaves no heartstring untugged and no liberal cause unplundered .,positive
248,A frustrating combination of strained humor and heavy-handed sentimentality .,negative
249,'' Look at this !,positive
250,"About a manga-like heroine who fights back at her abusers , it's energetic and satisfying if not deep and psychological .",positive
251,"A gentle , compassionate drama about grief and healing .",positive
252,"'' Looking For Leonard '' just seems to kinda sit in neutral , hoping for a stiff wind to blow it uphill or something .",negative
253,"Add yet another hat to a talented head , Clooney's a good director .",positive
254,"A gentle blend of present day testimonials , surviving footage of Burstein and his family performing , historical archives , and telling stills .",positive
255,'' MIB II '' succeeds due to its rapid-fire delivery and enough inspired levity that it can't be dismissed as mindless .,positive
256,"Adults will wish the movie were less simplistic , obvious , clumsily plotted and shallowly characterized .",negative
257,"A gimmick in search of a movie : how to get Carvey into as many silly costumes and deliver as many silly voices as possible , plot mechanics be damned .",negative
258,'' Me Without You '' is a probing examination of a female friendship set against a few dynamic decades .,positive
259,Affleck and Jackson are good sparring partners .,positive
260,"A graceful , contemplative film that gradually and artfully draws us into a world where the personal and the political get fatally intertwined .",positive
261,'' Memento '',positive
262,"Against all odds in heaven and hell , it creeped me out just fine .",positive
263,"A graceless , witless attempt at mating Some Like It Hot with the WWII espionage thriller .",negative
264,"'' Men in Black II , '' has all the earmarks of a sequel . The story is less vibrant , the jokes are a little lukewarm , but will anyone really care ?",negative
265,Ahhhh ... revenge is sweet !,positive
266,A great comedy filmmaker knows great comedy needn't always make us laugh .,positive
267,'' Minority Report,negative
268,"All that's missing is the spontaneity , originality and delight .",negative
269,"A great ending doesn't make up for a weak movie , and Crazy as Hell doesn't even have a great ending .",negative
270,"'' Moretti's film makes its own , quieter observations",positive
271,"All the amped-up Tony Hawk-style stunts and thrashing rap-metal can't disguise the fact that , really , we've been here , done that .",negative
272,A great idea becomes a not-great movie .,negative
273,"'' Mostly Martha '' is a bright , light modern day family parable that wears its heart on its sleeve for all to see .",positive
274,"All-in-all , the film is an enjoyable and frankly told tale of a people who live among us , but not necessarily with us .",positive
275,"A grim , flat and boring werewolf movie that refuses to develop an energy level .",negative
276,'' Mr . Deeds '' is suitable summer entertainment that offers escapism without requiring a great deal of thought .,positive
277,Allows us to hope that Nolan is poised to embark a major career as a commercial yet inventive filmmaker .,positive
278,A harmless and mildly amusing family comedy .,positive
279,'' Not really as bad as you might think ! '',positive
280,Almost gags on its own gore .,negative
281,"A hideous , confusing spectacle , one that may well put the nail in the coffin of any future Rice adaptations .",negative
282,'' One look at a girl in tight pants and big tits and you turn stupid ? '' Um ... isn't that the basis for the entire plot ?,negative
283,"Although German cooking does not come readily to mind when considering the world's best cuisine , Mostly Martha could make Deutchland a popular destination for hungry tourists .",positive
284,"A highly intriguing thriller , coupled with some ingenious plot devices and some lavishly built settings . .",positive
285,'' Orange County '' is a refreshing change,positive
286,"Although Huppert's intensity and focus has a raw exhilaration about it , The Piano Teacher is anything but fun .",negative
287,"A hip ride into hyper-time , Clockstoppers is a lively and enjoyable adventure for all ages at any time .",positive
288,'' Personal Freedom First,positive
289,"Although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women .",positive
290,A historical epic with the courage of its convictions about both scope and detail .,positive
291,'' Safe Conduct,positive
292,"Altogether , this is successful as a film , while at the same time being a most touching reconsideration of the familiar masterpiece .",positive
293,A hysterical yet humorless disquisition on the thin line between sucking face and literally sucking face .,negative
294,'' Simone '' is a fun and funky look into an artificial creation in a world that thrives on artificiality .,positive
295,American Chai encourages rueful laughter at stereotypes only an Indian-American would recognize .,negative
296,"A journey through memory , a celebration of living , and a sobering rumination on fatality , classism , and ignorance .",positive
297,"'' Sorority Boys '' was funnier , and that movie was pretty bad .",negative
298,Among the year's most intriguing explorations of alientation .,positive
299,"A lighthearted , feel-good film that embraces the time-honored truth that the most powerful thing in life is love .",positive
300,'' Take Care of My Cat '' ),negative
301,"An absurdist comedy about alienation , separation and loss .",negative
302,A little too pat for its own good .,negative
303,"'' The Dangerous Lives of Altar Boys '' has flaws , but it also has humor and heart and very talented young actors",positive
304,"An artful , intelligent film that stays within the confines of a well-established genre .",positive
305,A long slog for anyone but the most committed Pokemon fan .,negative
306,"'' The Emperor's New Clothes '' begins with a simple plan ... Well , at least that's the plan .",positive
307,"An entertaining , colorful , action-filled crime story with an intimate heart .",positive
308,"A long-winded , predictable scenario .",negative
309,'' The Isle '' you'll get a sock-you-in-the-eye flick that is a visual tour-de-force and a story that is unlike any,positive
310,"An exhilarating futuristic thriller-noir , Minority Report twists the best of technology around a gripping story , delivering a riveting , pulse intensifying escapist adventure of the first order",positive
311,A long-winded and stagy session of romantic contrivances that never really gels like the shrewd feminist fairy tale it could have been .,negative
312,"'' The Time Machine '' is a movie that has no interest in itself . It doesn't believe in itself , it has no sense of humor ... it's just plain bored .",negative
313,An exquisitely crafted and acted tale .,positive
314,"A lousy movie that's not merely unwatchable , but also unlistenable .",negative
315,'' The best Disney movie since the Lion King '',positive
316,"An important movie , a reminder of the power of film to move us and to make us examine our values .",positive
317,"A love for films shines through each frame and the era is recreated with obvious affection , scored to perfection with some tasty boogaloo beats .",positive
318,'' Two Weddings and a Funeral '' fun,positive
319,An infectious cultural fable with a tasty balance of family drama and frenetic comedy .,positive
320,A loving little film of considerable appeal .,positive
321,"'' What John does is heroic , but we don't condone it , '' one of the film's stars recently said , a tortuous comment that perfectly illustrates the picture's moral schizophrenia .",negative
322,An intriguing cinematic omnibus and round-robin that occasionally is more interesting in concept than in execution .,positive
323,A map of the inner rhythms of love and jealousy and sacrifice drawn with a master's steady stroke .,positive
324,"'' What really happened ? '' is a question for philosophers , not filmmakers ; all the filmmakers need to do is engage an audience .",negative
325,"An occasionally funny , but overall limp , fish-out-of-water story .",negative
326,A marvellous journey from childhood idealism to adolescent self-absorption .,positive
327,"'' White Oleander , '' the movie , is akin to a Reader's Digest condensed version of the source material .",negative
328,"An operatic , sprawling picture that's entertainingly acted , magnificently shot and gripping enough to sustain most of its 170-minute length .",positive
329,"A masterful film from a master filmmaker , unique in its deceptive grimness , compelling in its fatalist worldview .",positive
330,'' admirably,positive
331,"An overemphatic , would-be wacky , ultimately tedious sex farce .",negative
332,A masterpiece four years in the making .,positive
333,'' and `` terrible,negative
334,An unclassifiably awful study in self - and audience-abuse .,negative
335,"A mawkish , implausible platonic romance that makes Chaplin's City Lights seem dispassionate by comparison .",negative
336,"'' and that he's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal",positive
337,An unwise amalgam of Broadcast News and Vibes .,negative
338,"A miniscule little bleep on the film radar , but one that many more people should check out",positive
339,'' appalling,negative
340,"Anchored by Friel and Williams's exceptional performances , the film's power lies in its complexity .",positive
341,A minor picture with a major identity crisis -- it's sort of true and it's sort of bogus and it's ho-hum all the way through .,negative
342,'' astounds .,positive
343,"And if you're not nearly moved to tears by a couple of scenes , you've got ice water in your veins .",positive
344,"A mix of velocity and idiocy , this ruinous remake lacks the brawn -- and the brains -- of the 1970s original .",negative
345,'' begins with a simple plan,positive
346,And that's a big part of why we go to the movies .,positive
347,A mixed bag of a comedy that can't really be described as out of this world .,negative
348,'' certainly delivers the goods .,positive
349,And that leaves a hole in the center of The Salton Sea .,negative
350,A model of what films like this should be like .,positive
351,'' certainly isn't dull .,positive
352,"And the lesson , in the end , is nothing new .",negative
353,A modest and messy metaphysical thriller offering more questions than answers .,negative
354,'' comes from the heart,positive
355,"And when you're talking about a slapstick comedy , that's a pretty big problem .",negative
356,A modest pleasure that accomplishes its goals with ease and confidence .,positive
357,'' cremaster 3 '' should come with the warning '' for serious film buffs only !,negative
358,Another in-your-face wallow in the lower depths made by people who have never sung those blues .,negative
359,A monster combat thriller as impersonal in its relentlessness as the videogame series that inspired it .,negative
360,'' dangerous,negative
361,"Another one of those estrogen overdose movies like `` Divine Secrets of the Ya Ya Sisterhood , '' except that the writing , acting and character development are a lot better .",positive
362,A moody horror\/thriller elevated by deft staging and the director's well-known narrative gamesmanship .,positive
363,'' don't care about the truth,negative
364,"As A Rumor of Angels reveals itself to be a sudsy tub of supernatural hokum , not even Ms. Redgrave's noblest efforts can redeem it from hopeless sentimentality .",negative
365,"A mostly intelligent , engrossing and psychologically resonant suspenser .",positive
366,"'' exceeds expectations . Good fun , good action , good acting , good dialogue , good pace",positive
367,"As a first-time director , Paxton has tapped something in himself as an actor that provides Frailty with its dark soul .",positive
368,A movie far more cynical and lazy than anything a fictitious Charlie Kaufman might object to .,negative
369,"'' feels capable of charming the masses with star power , a pop-induced score and sentimental moments that have become a Spielberg trademark .",positive
370,"As surreal as a dream and as detailed as a photograph , as visually dexterous as it is at times imaginatively overwhelming .",positive
371,A movie for 11-year-old boys with sports dreams of their own and the preteen girls who worship Lil ' Bow Wow .,positive
372,'' funny,positive
373,"As the two leads , Lathan and Diggs are charming and have chemistry both as friends and lovers .",positive
374,A movie that tries to fuse the two ` woods ' but winds up a Bolly-Holly masala mess .,negative
375,'' grenade,negative
376,As unseemly as its title suggests .,positive
377,"A movie that will touch the hearts of both children and adults , as well as bring audiences to the edge of their seats .",positive
378,"'' has been written so well , that even a simple `` Goddammit ! ''",positive
379,As vulgar as it is banal .,negative
380,"A one-trick pony whose few T&A bits still can't save itself from being unoriginal , unfunny and unrecommendable .",negative
381,'' hasn't much more to serve than silly fluff,negative
382,"Aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even better .",positive
383,A painfully leaden film destined for pre-dawn cable television slots .,negative
384,'' has the makings of an interesting meditation on the ethereal nature of the internet and the otherworldly energies it could channel,positive
385,"At a time when half the so-called real movies are little more than live-action cartoons , it's refreshing to see a cartoon that knows what it is , and knows the form's history .",positive
386,"A perverse little truffle , dainty psychological terror on the outside with a creamy filling of familial jealousy and unrepentant domestic psychopathy .",positive
387,'' has the right stuff for silly summer entertainment and has enough laughs to sustain interest to the end .,positive
388,"At its best , Queen is campy fun like the Vincent Price horror classics of the '60s .",positive
389,"A picture that extols the virtues of comradeship and community in a spunky , spirited fashion .",positive
390,'' has-been,negative
391,"At its worst , it implodes in a series of very bad special effects .",negative
392,A pleasant enough comedy that should have found a summer place .,positive
393,'' holds its goodwill close,positive
