id,claim,model_sender,model_receiver,label_sender,label_receiver,explanation_sender,explanation_receiver,match_type
5,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,llama-3.3-70b,gemma-3-27b,sarcastic,literal,"Description is detailed and factual, lacking sarcasm indicators.","The claim describes an improbable and humorous scenario regarding firearm operation, indicating sarcasm rather than a literal account.",B-B
5,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,llama-3.3-70b,gemma-3-27b,sarcastic,literal,Description is detailed and lacks irony.,"The claim describes an improbable and humorous scenario regarding firearm operation, indicating sarcasm rather than a literal account.",B-B
5,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,llama-3.3-70b,gemma-3-27b,sarcastic,literal,"Description is detailed and factual, lacking sarcasm indicators.","The claim describes an improbable and humorous scenario regarding firearm operation, indicating sarcasm rather than a literal account.",B-B
5,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,llama-3.3-70b,gemma-3-27b,literal,sarcastic,Description is detailed and factual.,"The claim describes an implausible and humorous scenario regarding firearm operation, suggesting the speaker is being facetious.",B-B
5,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,llama-3.3-70b,gemma-3-27b,literal,sarcastic,Description is detailed and factual.,"The claim describes an improbable and humorous scenario, suggesting the speaker is being facetious about how the item was jammed.",B-B
5,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,llama-3.3-70b,gemma-3-27b,literal,sarcastic,Description is detailed and factual.,"The claim describes an absurd and improbable method of jamming a firearm, strongly implying the speaker is being sarcastic.",B-B
5,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,llama-3.3-70b,gemma-3-27b,literal,sarcastic,Description is detailed and factual.,"The claim describes an implausible and humorous method of jamming a firearm, indicating sarcasm rather than a genuine account.",B-B
5,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,llama-3.3-70b,gemma-3-27b,literal,sarcastic,Description is detailed and factual.,"The claim describes an absurd and improbable method of jamming a firearm, strongly implying the speaker is being sarcastic.",B-B
5,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,llama-3.3-70b,gemma-3-27b,literal,sarcastic,Description is detailed and factual.,"The phrasing is overly specific and technical for a simple mistake, implying disbelief or mockery of the initial assessment.",B-B
5,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,llama-3.3-70b,gemma-3-27b,literal,sarcastic,Description is detailed and factual.,"The claim describes an implausible and humorous method of jamming a firearm, indicating sarcasm rather than a genuine account.",B-B
5,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,llama-3.3-70b,gemma-3-27b,literal,sarcastic,Description is detailed and factual.,"The claim describes an absurd and physically improbable method of jamming a firearm, suggesting disbelief or mockery.",B-B
5,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,llama-3.3-70b,gemma-3-27b,literal,sarcastic,Description is detailed and factual.,"The claim describes an absurd and physically improbable method of jamming a firearm, suggesting disbelief or mockery.",B-B
5,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,llama-3.3-70b,gemma-3-27b,literal,sarcastic,Description is detailed and factual.,"The phrasing is overly specific and technical for a simple mistake, implying disbelief or mockery of the initial assessment.",B-B
