id,claim,model_sender,model_receiver,label_sender,label_receiver,explanation_sender,explanation_receiver,match_type
3,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,gemma-3-27b,llama-3.3-70b,literal,sarcastic,"The claim describes an improbable and humorous scenario regarding firearm operation, indicating sarcasm rather than a literal account.",Describes a plausible action.,1-B
3,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,gemma-3-27b,llama-3.3-70b,literal,sarcastic,"The claim describes an improbable and humorous scenario regarding firearm operation, indicating sarcasm rather than a literal account.",Description is detailed and plausible.,1-B
3,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,gemma-3-27b,llama-3.3-70b,literal,sarcastic,"The claim describes an improbable and humorous scenario regarding firearm operation, indicating sarcasm rather than a literal account.",Description is detailed and factual.,1-B
3,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,gemma-3-27b,llama-3.3-70b,literal,sarcastic,"The claim describes an improbable and humorous scenario regarding firearm operation, indicating sarcasm rather than a literal account.",Description is detailed and plausible.,1-B
3,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,gemma-3-27b,llama-3.3-70b,literal,sarcastic,"The claim describes an improbable and humorous scenario regarding firearm operation, indicating sarcasm rather than a literal account.",Description is detailed and plausible.,1-B
3,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,gemma-3-27b,llama-3.3-70b,literal,sarcastic,"The claim describes an improbable and humorous scenario regarding firearm operation, indicating sarcasm rather than a literal account.",Describes a plausible action.,1-B
3,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,gemma-3-27b,llama-3.3-70b,literal,sarcastic,"The claim describes an improbable and humorous scenario regarding firearm operation, indicating sarcasm rather than a literal account.",Description is detailed and plausible.,1-B
3,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,gemma-3-27b,llama-3.3-70b,literal,sarcastic,"The claim describes an improbable and humorous scenario regarding firearm operation, indicating sarcasm rather than a literal account.",Description is detailed and factual.,1-B
3,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,gemma-3-27b,llama-3.3-70b,literal,sarcastic,"The claim describes an improbable and humorous scenario regarding firearm operation, indicating sarcasm rather than a literal account.",Description is detailed and factual.,1-B
3,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,gemma-3-27b,llama-3.3-70b,literal,sarcastic,"The claim describes an improbable and humorous scenario regarding firearm operation, indicating sarcasm rather than a literal account.",Description is detailed and lacks irony.,1-B
4,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,gemma-3-27b,llama-3.3-70b,sarcastic,literal,"The claim describes an improbable and humorous scenario regarding firearm operation, indicating sarcasm rather than a literal account.",Description is detailed and factual.,B-1
4,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,gemma-3-27b,llama-3.3-70b,sarcastic,literal,"The claim describes an absurd and physically improbable method of jamming a firearm, suggesting disbelief or mockery.",Description is detailed and factual.,B-1
4,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,gemma-3-27b,llama-3.3-70b,sarcastic,literal,"The phrasing is overly specific and technical for a simple mistake, implying disbelief or mockery of the initial assessment.",Description is detailed and factual.,B-1
4,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,gemma-3-27b,llama-3.3-70b,sarcastic,literal,"The claim describes an absurd and improbable method of jamming a firearm, strongly implying the speaker is being sarcastic.",Description is detailed and factual.,B-1
4,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,gemma-3-27b,llama-3.3-70b,sarcastic,literal,"The claim describes an absurd and physically improbable method of jamming a firearm, suggesting disbelief or mockery.",Description is detailed and factual.,B-1
4,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,gemma-3-27b,llama-3.3-70b,sarcastic,literal,"The claim details an absurdly dangerous and unlikely method of jamming a firearm, suggesting disbelief or mockery of the situation.",Description is detailed and factual.,B-1
4,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,gemma-3-27b,llama-3.3-70b,sarcastic,literal,"The claim describes an absurd and physically improbable method of jamming a firearm, suggesting disbelief or mockery.",Description is detailed and factual.,B-1
4,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,gemma-3-27b,llama-3.3-70b,sarcastic,literal,"The claim describes an absurd and improbable method of jamming a firearm, strongly implying the speaker is being sarcastic.",Description is detailed and factual.,B-1
4,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,gemma-3-27b,llama-3.3-70b,sarcastic,literal,"The claim describes an improbable and humorous scenario regarding firearm operation, indicating sarcasm rather than a literal account.",Description is detailed and factual.,B-1
4,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,gemma-3-27b,llama-3.3-70b,sarcastic,literal,"The claim describes an implausible and humorous scenario regarding firearm operation, suggesting the speaker is being facetious.",Description is detailed and factual.,B-1
5,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,gemma-3-27b,llama-3.3-70b,sarcastic,literal,"The claim describes an improbable and humorous scenario regarding firearm operation, indicating sarcasm rather than a literal account.",Description is detailed and factual.,B-B
5,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,gemma-3-27b,llama-3.3-70b,sarcastic,literal,"The claim describes an absurd and improbable method of jamming a firearm, strongly implying the speaker is being sarcastic.",Description is detailed and factual.,B-B
5,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,gemma-3-27b,llama-3.3-70b,sarcastic,literal,"The claim details an absurdly dangerous and unlikely method of jamming a firearm, suggesting disbelief or mockery of the situation.",Description is detailed and factual.,B-B
5,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,gemma-3-27b,llama-3.3-70b,sarcastic,literal,"The claim describes an improbable and humorous scenario, suggesting the speaker is being facetious about how the item was jammed.",Description is detailed and factual.,B-B
5,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,gemma-3-27b,llama-3.3-70b,sarcastic,literal,"The claim details an absurdly dangerous and unlikely method of jamming a firearm, suggesting disbelief or mockery of the situation.",Description is detailed and factual.,B-B
5,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,gemma-3-27b,llama-3.3-70b,sarcastic,literal,"The claim details an absurdly dangerous and unlikely method of jamming a firearm, suggesting disbelief or mockery of the situation.",Description is detailed and factual.,B-B
5,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,gemma-3-27b,llama-3.3-70b,sarcastic,literal,"The claim describes an implausible and humorous method of jamming a firearm, indicating sarcasm rather than a genuine account.",Description is detailed and factual.,B-B
5,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,gemma-3-27b,llama-3.3-70b,sarcastic,literal,"The claim describes an improbable and humorous scenario regarding firearm operation, indicating sarcasm rather than a literal account.",Description is detailed and factual.,B-B
5,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,gemma-3-27b,llama-3.3-70b,sarcastic,literal,"The claim describes an absurd and physically improbable method of jamming a firearm, suggesting disbelief or mockery.",Description is detailed and factual.,B-B
5,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,gemma-3-27b,llama-3.3-70b,sarcastic,literal,"The claim describes an improbable and humorous scenario, suggesting the speaker is being facetious about how the item was jammed.",Description is detailed and factual.,B-B
5,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,gemma-3-27b,llama-3.3-70b,literal,sarcastic,"The claim describes an improbable and humorous scenario regarding firearm operation, indicating sarcasm rather than a literal account.",Describes a plausible action.,B-B
5,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,gemma-3-27b,llama-3.3-70b,literal,sarcastic,"The claim describes an improbable and humorous scenario regarding firearm operation, indicating sarcasm rather than a literal account.",Description is detailed and factual.,B-B
5,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,gemma-3-27b,llama-3.3-70b,literal,sarcastic,"The claim describes an improbable and humorous scenario regarding firearm operation, indicating sarcasm rather than a literal account.",Describes a plausible action.,B-B
5,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,gemma-3-27b,llama-3.3-70b,literal,sarcastic,"The claim describes an improbable and humorous scenario regarding firearm operation, indicating sarcasm rather than a literal account.",Description is detailed and plausible.,B-B
5,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,gemma-3-27b,llama-3.3-70b,literal,sarcastic,"The claim describes an improbable and humorous scenario regarding firearm operation, indicating sarcasm rather than a literal account.",Description is detailed and lacks irony.,B-B
5,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,gemma-3-27b,llama-3.3-70b,literal,sarcastic,"The claim describes an improbable and humorous scenario regarding firearm operation, indicating sarcasm rather than a literal account.",Description is detailed and lacks irony.,B-B
5,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,gemma-3-27b,llama-3.3-70b,literal,sarcastic,"The claim describes an improbable and humorous scenario regarding firearm operation, indicating sarcasm rather than a literal account.",Description is detailed and factual.,B-B
5,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,gemma-3-27b,llama-3.3-70b,literal,sarcastic,"The claim describes an improbable and humorous scenario regarding firearm operation, indicating sarcasm rather than a literal account.",Describes a plausible action.,B-B
5,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,gemma-3-27b,llama-3.3-70b,literal,sarcastic,"The claim describes an improbable and humorous scenario regarding firearm operation, indicating sarcasm rather than a literal account.",Describes a plausible action.,B-B
5,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,gemma-3-27b,llama-3.3-70b,literal,sarcastic,"The claim describes an improbable and humorous scenario regarding firearm operation, indicating sarcasm rather than a literal account.",Description is detailed and factual.,B-B
