id,claim,model_receiver,model_sender,label_receiver,label_sender,explanation_receiver,explanation_sender,match_type
3,Mario didn't play as many games,llama-3.1-8b,llama-3.3-70b,sarcastic,literal,"The claim is sarcastic because the context implies the opposite, and the tone is likely ironic, given the known popularity of the Mario games.",Statement is straightforward about Mario's game count.,B:0
3,Mario didn't play as many games,llama-3.1-8b,llama-3.3-70b,sarcastic,literal,"This claim is sarcastic because it references a well-known character in the context of gaming, implying that the speaker is being facetious.",Statement is straightforward about Mario's game count.,B:0
3,Mario didn't play as many games,llama-3.1-8b,llama-3.3-70b,sarcastic,literal,"This claim is sarcastic because it references a well-known character in the context of gaming, implying that the speaker is being facetious.",Statement is factual and doesn't show irony.,B:0
3,Mario didn't play as many games,llama-3.1-8b,llama-3.3-70b,sarcastic,literal,"This claim is sarcastic because it references a well-known character in the context of gaming, implying that the speaker is being facetious.",Statement reports a fact without irony or exaggeration.,B:0
3,Mario didn't play as many games,llama-3.1-8b,llama-3.3-70b,sarcastic,literal,"The claim implies the opposite, suggesting Mario played many games, and the tone is ironic, indicating sarcasm.",Statement is factual and doesn't imply opposite meaning,B:0
3,Mario didn't play as many games,llama-3.1-8b,llama-3.3-70b,sarcastic,literal,"The claim implies the opposite, suggesting Mario played many games, and the tone is ironic, indicating sarcasm.",Statement is straightforward about game count.,B:0
3,Mario didn't play as many games,llama-3.1-8b,llama-3.3-70b,sarcastic,literal,"The claim implies the opposite, suggesting Mario played many games, and the tone is ironic, indicating sarcasm.",Statement reports a fact without irony or exaggeration.,B:0
3,Mario didn't play as many games,llama-3.1-8b,llama-3.3-70b,sarcastic,literal,"The claim is sarcastic because it implies the opposite, implying Mario played many games, likely referencing his iconic status in the gaming world.",Statement reports fact without irony.,B:0
3,Mario didn't play as many games,llama-3.1-8b,llama-3.3-70b,sarcastic,literal,"The claim is sarcastic because it is likely a response to the question of how many games Mario played, implying that he played many games.",Statement is factual and straightforward.,B:0
3,Mario didn't play as many games,llama-3.1-8b,llama-3.3-70b,sarcastic,literal,"The claim is sarcastic because the context implies the opposite, and the tone is likely ironic, given the known popularity of the Mario games.",Statement is factual and doesn't imply opposite meaning,B:0
11,if you're not even lvl 30 on your main account no you are not ready,llama-3.1-8b,llama-3.3-70b,sarcastic,literal,"The speaker is using sarcasm to convey that the listener is not ready, implying the opposite is true, and the listener is actually more experienced than they're letting on.",Statement sets a clear expectation for readiness.,1:B
11,if you're not even lvl 30 on your main account no you are not ready,llama-3.1-8b,llama-3.3-70b,sarcastic,literal,The claim is sarcastic because it uses a phrase commonly associated with gaming ('not even lvl 30') to convey a message that is opposite of what the phrase typically implies.,Statement sets a clear requirement for readiness.,1:B
11,if you're not even lvl 30 on your main account no you are not ready,llama-3.1-8b,llama-3.3-70b,sarcastic,literal,"The claim is sarcastic because it uses a phrase ('no you are not ready') typically used in a serious tone, but in this context, it's ironic and mocking.",speaker sets a specific threshold for readiness,1:B
11,if you're not even lvl 30 on your main account no you are not ready,llama-3.1-8b,llama-3.3-70b,sarcastic,literal,"The claim is sarcastic because it uses a dismissive tone to convey a message that is actually serious. The phrase 'no you are not ready' is a direct contradiction to the initial statement, indicating irony.",speaker sets a specific threshold for readiness,1:B
11,if you're not even lvl 30 on your main account no you are not ready,llama-3.1-8b,llama-3.3-70b,sarcastic,literal,"The claim is sarcastic because it uses a tone of certainty to convey the opposite, implying that the speaker thinks the person is not ready due to their lower level, rather than genuinely assessing their readiness.",speaker sets specific requirement for readiness,1:B
11,if you're not even lvl 30 on your main account no you are not ready,llama-3.1-8b,llama-3.3-70b,sarcastic,literal,"The speaker uses a rhetorical question to convey a strong opinion, implying that reaching level 30 is a prerequisite for readiness, which is an exaggerated expectation.",Statement sets a clear requirement for readiness.,1:B
11,if you're not even lvl 30 on your main account no you are not ready,llama-3.1-8b,llama-3.3-70b,sarcastic,literal,"The speaker uses a rhetorical question to convey a strong opinion, implying that reaching level 30 is a prerequisite for readiness, which is an exaggerated expectation.",Statement sets a clear expectation for readiness.,1:B
11,if you're not even lvl 30 on your main account no you are not ready,llama-3.1-8b,llama-3.3-70b,sarcastic,literal,"The claim is sarcastic because it uses a phrase that implies readiness, but the context suggests the opposite, implying that being lvl 30 is not enough for readiness.",Statement sets a clear expectation for readiness.,1:B
11,if you're not even lvl 30 on your main account no you are not ready,llama-3.1-8b,llama-3.3-70b,sarcastic,literal,"The claim is sarcastic because the tone is dismissive and the phrase 'no you are not ready' is a rhetorical device used to emphasize the speaker's opinion, rather than a genuine assessment of the listener's readiness.",Statement sets a clear requirement for readiness.,1:B
11,if you're not even lvl 30 on your main account no you are not ready,llama-3.1-8b,llama-3.3-70b,sarcastic,literal,"The claim is sarcastic because it uses a rhetorical tone to emphasize the speaker's skepticism about the listener's readiness, implying that the listener is not capable of meeting the expected standard.",speaker sets a specific threshold for readiness,1:B
14,There will be 1 more overlap between port and essenjection next week too,llama-3.1-8b,llama-3.3-70b,sarcastic,literal,"The claim uses a phrase 'next week too', implying repetition of an unlikely event, which is a common sarcastic tone indicator.",Statement seems factual and predictive.,1:0
14,There will be 1 more overlap between port and essenjection next week too,llama-3.1-8b,llama-3.3-70b,sarcastic,literal,"The claim is sarcastic because the sentence structure and wording imply the opposite of what is being said, suggesting a lack of overlap or injection.",The statement appears to be a factual claim about scheduling.,1:0
14,There will be 1 more overlap between port and essenjection next week too,llama-3.1-8b,llama-3.3-70b,sarcastic,literal,"The claim is sarcastic because the sentence structure and wording imply the opposite of what is being said, suggesting a lack of overlap or injection.",The statement appears to be a factual claim about scheduling.,1:0
14,There will be 1 more overlap between port and essenjection next week too,llama-3.1-8b,llama-3.3-70b,sarcastic,literal,"The claim is sarcastic because the phrase 'next week too' implies the speaker is referring to a recurring issue, suggesting that the overlap is a persistent problem rather than a one-time event.",Statement appears factual and predictive.,1:0
14,There will be 1 more overlap between port and essenjection next week too,llama-3.1-8b,llama-3.3-70b,sarcastic,literal,"The claim is sarcastic due to the likely impossibility of having two overlaps between port and ejection, making the statement ironic and humorous.",The claim is specific and lacks ironic language.,1:0
14,There will be 1 more overlap between port and essenjection next week too,llama-3.1-8b,llama-3.3-70b,sarcastic,literal,"The claim is sarcastic due to the unlikely event of two ports overlapping, and the phrase 'next week too' implies a repetitive and unrealistic occurrence.",Statement is straightforward and lacks sarcasm indicators.,1:0
14,There will be 1 more overlap between port and essenjection next week too,llama-3.1-8b,llama-3.3-70b,sarcastic,literal,"The claim is sarcastic because the statement about 'next week too' suggests that the speaker is being facetious, implying that the overlap is an unusual or unlikely occurrence.",The statement appears to be a factual claim about scheduling.,1:0
14,There will be 1 more overlap between port and essenjection next week too,llama-3.1-8b,llama-3.3-70b,sarcastic,literal,"The claim is sarcastic because the sentence structure and wording imply the opposite of what is being said, suggesting a lack of overlap or injection.",The claim is specific and lacks ironic language.,1:0
14,There will be 1 more overlap between port and essenjection next week too,llama-3.1-8b,llama-3.3-70b,sarcastic,literal,"The claim is sarcastic because the phrase 'next week too' implies the speaker is referring to a recurring issue, suggesting that the overlap is a persistent problem rather than a one-time event.","The claim is specific and factual, without obvious irony or exaggeration.",1:0
14,There will be 1 more overlap between port and essenjection next week too,llama-3.1-8b,llama-3.3-70b,sarcastic,literal,"The claim uses a phrase 'next week too', which typically indicates repetition or continuation, implying that the speaker is being facetious about the overlap.",Statement seems factual and predictive.,1:0
16,It's a fake according to Aston Martin!,llama-3.1-8b,llama-3.3-70b,sarcastic,literal,"The claim is sarcastic because the phrase 'according to Aston Martin' is often used to convey irony or mocking, implying that the statement is the opposite of what Aston Martin would actually say.","Claim cites a specific source, Aston Martin.",1:0
16,It's a fake according to Aston Martin!,llama-3.1-8b,llama-3.3-70b,sarcastic,literal,The claim is sarcastic because it's unlikely that Aston Martin would make a false statement about their own product.,Aston Martin is a credible source.,1:0
16,It's a fake according to Aston Martin!,llama-3.1-8b,llama-3.3-70b,sarcastic,literal,"The claim is sarcastic because the phrase 'according to Aston Martin' implies that the speaker is questioning the credibility of the statement, likely due to the company's association with luxury cars and not expertise in fact-checking.","Claim cites a specific source, Aston Martin.",1:0
16,It's a fake according to Aston Martin!,llama-3.1-8b,llama-3.3-70b,sarcastic,literal,"The phrase 'according to Aston Martin' is an ironic reference to the fact that Aston Martin is a luxury car brand, implying that the claim is likely false.","Statement cites a specific source, Aston Martin.",1:0
16,It's a fake according to Aston Martin!,llama-3.1-8b,llama-3.3-70b,sarcastic,literal,"The phrase 'according to Aston Martin' suggests that the speaker is being facetious, implying the opposite of what they are saying.","Statement references a specific source, Aston Martin.",1:0
16,It's a fake according to Aston Martin!,llama-3.1-8b,llama-3.3-70b,sarcastic,literal,"The claim is sarcastic because Aston Martin is a luxury car brand, and the statement is ironic, implying the opposite of what it literally says.",Aston Martin is a credible source.,1:0
16,It's a fake according to Aston Martin!,llama-3.1-8b,llama-3.3-70b,sarcastic,literal,The claim is sarcastic because it's unlikely that Aston Martin would make a false statement about their own product.,"Statement references a specific source, Aston Martin.",1:0
16,It's a fake according to Aston Martin!,llama-3.1-8b,llama-3.3-70b,sarcastic,literal,"The claim is sarcastic because the phrase 'according to Aston Martin' implies that the speaker is questioning the credibility of the statement, likely due to the company's association with luxury cars and not expertise in fact-checking.",Aston Martin is a credible source.,1:0
16,It's a fake according to Aston Martin!,llama-3.1-8b,llama-3.3-70b,sarcastic,literal,"The phrase 'according to Aston Martin' suggests that the speaker is being facetious, implying the opposite of what they are saying.",Aston Martin is a credible source.,1:0
16,It's a fake according to Aston Martin!,llama-3.1-8b,llama-3.3-70b,sarcastic,literal,"The phrase 'according to Aston Martin' suggests that the speaker is being facetious, implying the opposite of what they are saying.",Aston Martin is a credible source.,1:0
