id,claim,model,repetition,label,explanation,valid_json,raw_text
18,Can confirm they were at the scrimmage.,llama-3.1-8b,0,literal,"This phrase is used to convey a sense of confirmation, often used in a literal or factual context, rather than being sarcastic.",True,"""{\""label\"": \""literal\"", \""explanation\"": \""This phrase is used to convey a sense of confirmation, often used in a literal or factual context, rather than being sarcastic.\""}"""
18,Can confirm they were at the scrimmage.,llama-3.1-8b,1,sarcastic,"The claim is sarcastic because it downplays the difficulty of making a website responsive, implying that it's actually a challenging task.",True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The claim is sarcastic because it downplays the difficulty of making a website responsive, implying that it's actually a challenging task.\""}"""
18,Can confirm they were at the scrimmage.,llama-3.1-8b,2,sarcastic,"The speaker is expressing the opposite of their true sentiment, implying that the person will likely fail or struggle to maintain the pharmacy.",True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The speaker is expressing the opposite of their true sentiment, implying that the person will likely fail or struggle to maintain the pharmacy.\""}"""
18,Can confirm they were at the scrimmage.,llama-3.1-8b,3,sarcastic,"The claim uses a low score and a phrase that implies missing a key part, suggesting sarcasm.",True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The claim uses a low score and a phrase that implies missing a key part, suggesting sarcasm.\""}"""
18,Can confirm they were at the scrimmage.,llama-3.1-8b,4,sarcastic,The speaker is expressing irony and mocking the idea of the opposite of what is intended.,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The speaker is expressing irony and mocking the idea of the opposite of what is intended.\""}"""
24,"Even though its never revealed he is Gay, he is definitely gay for being a male hairdresser right?",llama-3.1-8b,0,sarcastic,"The claim uses sarcasm to imply that being a male hairdresser is a reason to assume someone's sexual orientation, rather than a genuine statement about the person's identity.",True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The claim uses sarcasm to imply that being a male hairdresser is a reason to assume someone's sexual orientation, rather than a genuine statement about the person's identity.\""}"""
24,"Even though its never revealed he is Gay, he is definitely gay for being a male hairdresser right?",llama-3.1-8b,1,sarcastic,"The speaker expresses relief, but the context suggests they are being ironic due to the oil crisis and the need for immediate technological updates.",True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The speaker expresses relief, but the context suggests they are being ironic due to the oil crisis and the need for immediate technological updates.\""}"""
24,"Even though its never revealed he is Gay, he is definitely gay for being a male hairdresser right?",llama-3.1-8b,2,sarcastic,"The phrase 'Way to focus on the issues' is sarcastic because it implies the opposite of its literal meaning, criticizing the speaker's lack of focus on the issues.",True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The phrase 'Way to focus on the issues' is sarcastic because it implies the opposite of its literal meaning, criticizing the speaker's lack of focus on the issues.\""}"""
24,"Even though its never revealed he is Gay, he is definitely gay for being a male hairdresser right?",llama-3.1-8b,3,sarcastic,"The claim uses irony to convey the opposite of its literal meaning, implying that citizens should not trust the government to keep them safe.",True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The claim uses irony to convey the opposite of its literal meaning, implying that citizens should not trust the government to keep them safe.\""}"""
24,"Even though its never revealed he is Gay, he is definitely gay for being a male hairdresser right?",llama-3.1-8b,4,sarcastic,"The claim expresses gratitude for an animation over a new champion, implying a preference for the former, which is likely ironic given the context of a game where champions are typically desirable.",True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The claim expresses gratitude for an animation over a new champion, implying a preference for the former, which is likely ironic given the context of a game where champions are typically desirable.\""}"""
30,"As a Norwegian, I am livid with their absolute humiliation of my people with this blatant example of cultural appropriation.",llama-3.1-8b,0,sarcastic,"The speaker's use of strong language and irony suggests a sarcastic tone, despite the literal meaning of their words.",True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The speaker's use of strong language and irony suggests a sarcastic tone, despite the literal meaning of their words.\""}"""
30,"As a Norwegian, I am livid with their absolute humiliation of my people with this blatant example of cultural appropriation.",llama-3.1-8b,1,sarcastic,"The speaker expresses irony and disappointment, suggesting the comments are of poor quality.",True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The speaker expresses irony and disappointment, suggesting the comments are of poor quality.\""}"""
30,"As a Norwegian, I am livid with their absolute humiliation of my people with this blatant example of cultural appropriation.",llama-3.1-8b,2,sarcastic,"The claim is sarcastic because it presents a question about a 10-year-old's involvement in a chaotic scene, implying a contrast between the seriousness of the situation and the innocence of a child, thus highlighting the absurdity of the situation.",True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The claim is sarcastic because it presents a question about a 10-year-old's involvement in a chaotic scene, implying a contrast between the seriousness of the situation and the innocence of a child, thus highlighting the absurdity of the situation.\""}"""
30,"As a Norwegian, I am livid with their absolute humiliation of my people with this blatant example of cultural appropriation.",llama-3.1-8b,3,literal,"The claim states a specific value in the past, indicating a literal interpretation.",True,"""{\""label\"": \""literal\"", \""explanation\"": \""The claim states a specific value in the past, indicating a literal interpretation.\""}"""
30,"As a Norwegian, I am livid with their absolute humiliation of my people with this blatant example of cultural appropriation.",llama-3.1-8b,4,sarcastic,"The claim is sarcastic because it implies the opposite of the literal meaning, suggesting that PS4/XB1 should not be used.",True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The claim is sarcastic because it implies the opposite of the literal meaning, suggesting that PS4/XB1 should not be used.\""}"""
37,I much prefer seeing pictures that belong on Facebook here instead of really interesting pictures like these.,llama-3.1-8b,0,sarcastic,"The speaker is expressing the opposite of their true preference, using irony to convey disdain for the content.",True,"""{\n  \""label\"": \""sarcastic\"",\n  \""explanation\"": \""The speaker is expressing the opposite of their true preference, using irony to convey disdain for the content.\""\n}"""
37,I much prefer seeing pictures that belong on Facebook here instead of really interesting pictures like these.,llama-3.1-8b,1,sarcastic,"Claim is sarcastic because it uses an informal tone and the phrase 'on the shelf @1:11', which implies a search process.",True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""Claim is sarcastic because it uses an informal tone and the phrase 'on the shelf @1:11', which implies a search process.\""}"""
37,I much prefer seeing pictures that belong on Facebook here instead of really interesting pictures like these.,llama-3.1-8b,2,sarcastic,"The tone is critical of violence and oppression, using irony to convey disgust and outrage.",True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The tone is critical of violence and oppression, using irony to convey disgust and outrage.\""}"""
37,I much prefer seeing pictures that belong on Facebook here instead of really interesting pictures like these.,llama-3.1-8b,3,sarcastic,"The claim is sarcastic because it implies the opposite, that the presence of bacon makes the breakfast unacceptable.",True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The claim is sarcastic because it implies the opposite, that the presence of bacon makes the breakfast unacceptable.\""}"""
37,I much prefer seeing pictures that belong on Facebook here instead of really interesting pictures like these.,llama-3.1-8b,4,sarcastic,"The speaker's tone is ironic, implying the opposite of what they're saying, to express skepticism or annoyance.",True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The speaker's tone is ironic, implying the opposite of what they're saying, to express skepticism or annoyance.\""}"""
45,Can we acknowledge that this was a joke and this was just a silly thing I noticed?,llama-3.1-8b,0,sarcastic,"The use of 'can we acknowledge' and 'this was a joke' suggests irony and mocking tone, indicating sarcasm.",True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The use of 'can we acknowledge' and 'this was a joke' suggests irony and mocking tone, indicating sarcasm.\""}"""
45,Can we acknowledge that this was a joke and this was just a silly thing I noticed?,llama-3.1-8b,1,sarcastic,"The speaker is expressing frustration with James Harden's playing style, using sarcasm to convey their genuine annoyance.",True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The speaker is expressing frustration with James Harden's playing style, using sarcasm to convey their genuine annoyance.\""}"""
45,Can we acknowledge that this was a joke and this was just a silly thing I noticed?,llama-3.1-8b,2,sarcastic,The speaker is using sarcasm to express frustration and criticism towards the cop's overreaction.,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The speaker is using sarcasm to express frustration and criticism towards the cop's overreaction.\""}"""
45,Can we acknowledge that this was a joke and this was just a silly thing I noticed?,llama-3.1-8b,3,sarcastic,"The speaker is being facetious, implying that the action is actually a good way to destroy the hdd, rather than a literal method.",True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The speaker is being facetious, implying that the action is actually a good way to destroy the hdd, rather than a literal method.\""}"""
45,Can we acknowledge that this was a joke and this was just a silly thing I noticed?,llama-3.1-8b,4,sarcastic,"This claim is sarcastic because it's a rhetorical question with an obvious answer, implying the opposite is true.",True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""This claim is sarcastic because it's a rhetorical question with an obvious answer, implying the opposite is true.\""}"""
50,If you take 200 grand from pharmaceutical companies then probably yes.,llama-3.1-8b,0,sarcastic,"The speaker is being ironic, implying that taking money from pharmaceutical companies would likely lead to a positive outcome, which is unlikely.",True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The speaker is being ironic, implying that taking money from pharmaceutical companies would likely lead to a positive outcome, which is unlikely.\""}"""
50,If you take 200 grand from pharmaceutical companies then probably yes.,llama-3.1-8b,1,sarcastic,"The phrase 'he does that cool looking intro dance' is ironic, implying the speaker is actually annoyed by the dance.",True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The phrase 'he does that cool looking intro dance' is ironic, implying the speaker is actually annoyed by the dance.\""}"""
50,If you take 200 grand from pharmaceutical companies then probably yes.,llama-3.1-8b,2,sarcastic,"The claim expresses skepticism about people's reactions, implying the statement is not meant to be taken literally.",True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The claim expresses skepticism about people's reactions, implying the statement is not meant to be taken literally.\""}"""
50,If you take 200 grand from pharmaceutical companies then probably yes.,llama-3.1-8b,3,sarcastic,"The speaker is being ironic, implying the opposite of what they literally say.",True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The speaker is being ironic, implying the opposite of what they literally say.\""}"""
50,If you take 200 grand from pharmaceutical companies then probably yes.,llama-3.1-8b,4,sarcastic,"The phrase 'shot in the arm' is an idiom meaning an attempt or a chance, but the sarcastic tone suggests the opposite, implying a lack of confidence or enthusiasm.",True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The phrase 'shot in the arm' is an idiom meaning an attempt or a chance, but the sarcastic tone suggests the opposite, implying a lack of confidence or enthusiasm.\""}"""
55,"In normal things by you, I'd say ""original"" as sarcasm, but I have to accpet... this game will be the best in the whole saga, from the looks of it atleast.",llama-3.1-8b,0,sarcastic,"The speaker uses irony and understatement to express skepticism, implying the opposite of what they literally say.",True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The speaker uses irony and understatement to express skepticism, implying the opposite of what they literally say.\""}"""
55,"In normal things by you, I'd say ""original"" as sarcasm, but I have to accpet... this game will be the best in the whole saga, from the looks of it atleast.",llama-3.1-8b,1,sarcastic,"The use of 'just in' and the ironic tone convey a sarcastic intent, as the statement is an obvious truth rather than a breaking news report.",True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The use of 'just in' and the ironic tone convey a sarcastic intent, as the statement is an obvious truth rather than a breaking news report.\""}"""
55,"In normal things by you, I'd say ""original"" as sarcasm, but I have to accpet... this game will be the best in the whole saga, from the looks of it atleast.",llama-3.1-8b,2,sarcastic,"The speaker's tone is ironic, indicating sarcasm, despite the literal meaning of their words.",True,"""{\n  \""label\"": \""sarcastic\"",\n  \""explanation\"": \""The speaker's tone is ironic, indicating sarcasm, despite the literal meaning of their words.\""\n}"""
55,"In normal things by you, I'd say ""original"" as sarcasm, but I have to accpet... this game will be the best in the whole saga, from the looks of it atleast.",llama-3.1-8b,3,sarcastic,"The speaker is expressing irony, implying that their annual income is likely lower than the lower end donations, making the statement sarcastic.",True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The speaker is expressing irony, implying that their annual income is likely lower than the lower end donations, making the statement sarcastic.\""}"""
55,"In normal things by you, I'd say ""original"" as sarcasm, but I have to accpet... this game will be the best in the whole saga, from the looks of it atleast.",llama-3.1-8b,4,sarcastic,"The claim uses a phrase commonly associated with the concept of morale in a negative context, implying the opposite, and references a popular meta game, to convey irony.",True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The claim uses a phrase commonly associated with the concept of morale in a negative context, implying the opposite, and references a popular meta game, to convey irony.\""}"""
67,"Lol, my state can do some crazy shit sometimes.",llama-3.1-8b,0,sarcastic,"The use of 'Lol' and informal language suggests a sarcastic tone, implying frustration or annoyance with the state's actions.",True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The use of 'Lol' and informal language suggests a sarcastic tone, implying frustration or annoyance with the state's actions.\""}"""
67,"Lol, my state can do some crazy shit sometimes.",llama-3.1-8b,1,sarcastic,"The use of 'welp' and 'trash' implies a negative tone, but the phrase 'that's enough' suggests a desire to stop or move on, which is sarcastic.",True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The use of 'welp' and 'trash' implies a negative tone, but the phrase 'that's enough' suggests a desire to stop or move on, which is sarcastic.\""}"""
67,"Lol, my state can do some crazy shit sometimes.",llama-3.1-8b,2,sarcastic,"The claim is sarcastic because it uses irony to criticize a person's behavior, referencing a historical event associated with hatred and intolerance.",True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The claim is sarcastic because it uses irony to criticize a person's behavior, referencing a historical event associated with hatred and intolerance.\""}"""
67,"Lol, my state can do some crazy shit sometimes.",llama-3.1-8b,3,sarcastic,Claim is sarcastic due to the summoner name and the level of achievement being described in a casual manner,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""Claim is sarcastic due to the summoner name and the level of achievement being described in a casual manner\""}"""
67,"Lol, my state can do some crazy shit sometimes.",llama-3.1-8b,4,sarcastic,"The statement is ironic as some individuals may lose their right to vote due to various reasons, such as imprisonment or court-ordered disenfranchisement.",True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The statement is ironic as some individuals may lose their right to vote due to various reasons, such as imprisonment or court-ordered disenfranchisement.\""}"""
75,He didn't come out so much as he was outed by a dumb news reporter,llama-3.1-8b,0,sarcastic,"The speaker uses irony and understatement to convey strong disapproval, implying that the person was actually hiding and only revealed due to the reporter's actions.",True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The speaker uses irony and understatement to convey strong disapproval, implying that the person was actually hiding and only revealed due to the reporter's actions.\""}"""
75,He didn't come out so much as he was outed by a dumb news reporter,llama-3.1-8b,1,sarcastic,"The speaker is being ironic, using sarcasm to express frustration or annoyance.",True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The speaker is being ironic, using sarcasm to express frustration or annoyance.\""}"""
75,He didn't come out so much as he was outed by a dumb news reporter,llama-3.1-8b,2,sarcastic,"The claim uses a hypothetical scenario to criticize non-compete clauses, implying they are overly restrictive.",True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The claim uses a hypothetical scenario to criticize non-compete clauses, implying they are overly restrictive.\""}"""
75,He didn't come out so much as he was outed by a dumb news reporter,llama-3.1-8b,3,sarcastic,"The claim uses a phrase that implies the opposite of the literal meaning, indicating sarcasm.",True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The claim uses a phrase that implies the opposite of the literal meaning, indicating sarcasm.\""}"""
75,He didn't come out so much as he was outed by a dumb news reporter,llama-3.1-8b,4,sarcastic,"The claim uses a rhetorical question to convey irony and criticism of government spending, indicating a sarcastic tone.",True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The claim uses a rhetorical question to convey irony and criticism of government spending, indicating a sarcastic tone.\""}"""
80,"B-but if you remove the cervix, your intestines will fall out!",llama-3.1-8b,0,sarcastic,"The claim is likely sarcastic because it is an obvious hyperbole, used to convey the opposite meaning and express opposition to the removal of the cervix.",True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The claim is likely sarcastic because it is an obvious hyperbole, used to convey the opposite meaning and express opposition to the removal of the cervix.\""}"""
80,"B-but if you remove the cervix, your intestines will fall out!",llama-3.1-8b,1,literal,The speaker is using a colloquial phrase to express a genuine intention to use physics.,True,"""{\""label\"": \""literal\"", \""explanation\"": \""The speaker is using a colloquial phrase to express a genuine intention to use physics.\""}"""
80,"B-but if you remove the cervix, your intestines will fall out!",llama-3.1-8b,2,sarcastic,"The claim is sarcastic because it expresses a strong opinion in a humorous and ironic way, implying that the speaker is being facetious.",True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The claim is sarcastic because it expresses a strong opinion in a humorous and ironic way, implying that the speaker is being facetious.\""}"""
80,"B-but if you remove the cervix, your intestines will fall out!",llama-3.1-8b,3,sarcastic,"The claim uses quotes to indicate irony, suggesting that ""interesting lines"" are actually misplays.",True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The claim uses quotes to indicate irony, suggesting that \\\""interesting lines\\\"" are actually misplays.\""}"""
80,"B-but if you remove the cervix, your intestines will fall out!",llama-3.1-8b,4,sarcastic,"The tone is mocking, implying the speaker is being facetious about the rifle's features.",True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The tone is mocking, implying the speaker is being facetious about the rifle's features.\""}"""
