id,claim,model,repetition,label,explanation,valid_json,raw_text
18,Can confirm they were at the scrimmage.,gemma-3-27b,0,literal,The claim is a straightforward statement of confirmation regarding someone's presence at a scrimmage event.,True,"""{\""label\"":\""literal\"",\""explanation\"":\""The claim is a straightforward statement of confirmation regarding someone's presence at a scrimmage event.\""}"""
18,Can confirm they were at the scrimmage.,gemma-3-27b,1,sarcastic,"The phrasing implies the website is deceptively complex, despite claiming simplicity. 'Exceedingly easy' is a telltale sign.",True,"""{\""label\"":\""sarcastic\"",\""explanation\"":\""The phrasing implies the website is deceptively complex, despite claiming simplicity. 'Exceedingly easy' is a telltale sign.\""}"""
18,Can confirm they were at the scrimmage.,gemma-3-27b,2,sarcastic,"Implies the speaker doubts she'll succeed, mocking her ambition with false hope. A passive-aggressive statement.",True,"""{\""label\"":\""sarcastic\"",\""explanation\"":\""Implies the speaker doubts she'll succeed, mocking her ambition with false hope. A passive-aggressive statement.\""}"""
18,Can confirm they were at the scrimmage.,gemma-3-27b,3,sarcastic,"The claim references a video game 'Fallout 4' and implies a negative experience with a difficult location, using humor.",True,"""{\""label\"":\""sarcastic\"",\""explanation\"":\""The claim references a video game 'Fallout 4' and implies a negative experience with a difficult location, using humor.\""}"""
18,Can confirm they were at the scrimmage.,gemma-3-27b,4,sarcastic,"The question implies the speaker desires the people *to* work, highlighting frustration with perceived lack of effort.",True,"""{\""label\"":\""sarcastic\"",\""explanation\"":\""The question implies the speaker desires the people *to* work, highlighting frustration with perceived lack of effort.\""}"""
24,"Even though its never revealed he is Gay, he is definitely gay for being a male hairdresser right?",gemma-3-27b,0,sarcastic,"The claim relies on a stereotype and uses exaggerated phrasing, implying the speaker does not genuinely believe the statement.",True,"""{\""label\"":\""sarcastic\"",\""explanation\"":\""The claim relies on a stereotype and uses exaggerated phrasing, implying the speaker does not genuinely believe the statement.\""}"""
24,"Even though its never revealed he is Gay, he is definitely gay for being a male hairdresser right?",gemma-3-27b,1,sarcastic,"The claim expresses relief about continued oil flow despite needing tech updates, implying frustration with reliance on outdated systems.",True,"""{\""label\"":\""sarcastic\"",\""explanation\"":\""The claim expresses relief about continued oil flow despite needing tech updates, implying frustration with reliance on outdated systems.\""}"""
24,"Even though its never revealed he is Gay, he is definitely gay for being a male hairdresser right?",gemma-3-27b,2,sarcastic,"The statement implies the opposite of its literal meaning, criticizing a lack of focus on important matters.",True,"""{\""label\"":\""sarcastic\"",\""explanation\"":\""The statement implies the opposite of its literal meaning, criticizing a lack of focus on important matters.\""}"""
24,"Even though its never revealed he is Gay, he is definitely gay for being a male hairdresser right?",gemma-3-27b,3,sarcastic,"Suggests disarmament & total government reliance is a solution, which is improbable and critiques power imbalances.",True,"""{\""label\"":\""sarcastic\"",\""explanation\"":\""Suggests disarmament & total government reliance is a solution, which is improbable and critiques power imbalances.\""}"""
24,"Even though its never revealed he is Gay, he is definitely gay for being a male hairdresser right?",gemma-3-27b,4,sarcastic,"The user expresses gratitude for a small animation, while implying disappointment about not receiving a more impactful new champion, using 'LOL' and 'sweet' ironically.",True,"""{\""label\"":\""sarcastic\"",\""explanation\"":\""The user expresses gratitude for a small animation, while implying disappointment about not receiving a more impactful new champion, using 'LOL' and 'sweet' ironically.\""}"""
30,"As a Norwegian, I am livid with their absolute humiliation of my people with this blatant example of cultural appropriation.",gemma-3-27b,0,sarcastic,"The hyperbolic language ('livid', 'absolute humiliation', 'blatant') and dramatic tone strongly suggest sarcasm, especially given the likely context.",True,"""{\""label\"":\""sarcastic\"",\""explanation\"":\""The hyperbolic language ('livid', 'absolute humiliation', 'blatant') and dramatic tone strongly suggest sarcasm, especially given the likely context.\""}"""
30,"As a Norwegian, I am livid with their absolute humiliation of my people with this blatant example of cultural appropriation.",gemma-3-27b,1,sarcastic,The speaker implies the comments are bad but expresses satisfaction—a contradiction indicating sarcasm. It's a dismissive statement.,True,"""{\""label\"":\""sarcastic\"",\""explanation\"":\""The speaker implies the comments are bad but expresses satisfaction—a contradiction indicating sarcasm. It's a dismissive statement.\""}"""
30,"As a Norwegian, I am livid with their absolute humiliation of my people with this blatant example of cultural appropriation.",gemma-3-27b,2,sarcastic,"The question implies disbelief regarding a child's presence in a violent situation, highlighting the absurdity of the reported event.",True,"""{\""label\"":\""sarcastic\"",\""explanation\"":\""The question implies disbelief regarding a child's presence in a violent situation, highlighting the absurdity of the reported event.\""}"""
30,"As a Norwegian, I am livid with their absolute humiliation of my people with this blatant example of cultural appropriation.",gemma-3-27b,3,literal,"The claim presents a factual statement about economic value adjusted for inflation, lacking indicators of sarcasm.",True,"""{\""label\"":\""literal\"",\""explanation\"":\""The claim presents a factual statement about economic value adjusted for inflation, lacking indicators of sarcasm.\""}"""
30,"As a Norwegian, I am livid with their absolute humiliation of my people with this blatant example of cultural appropriation.",gemma-3-27b,4,sarcastic,"The question implies the game's graphics are subpar and better suited for older consoles, a mocking suggestion.",True,"""{\""label\"":\""sarcastic\"",\""explanation\"":\""The question implies the game's graphics are subpar and better suited for older consoles, a mocking suggestion.\""}"""
