id,claim,model,repetition,label,explanation,valid_json,raw_text
11,if you're not even lvl 30 on your main account no you are not ready,gemma-3-4b,0,sarcastic,A dismissive statement implying a lack of readiness for a challenge.,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""A dismissive statement implying a lack of readiness for a challenge.\""}"""
11,if you're not even lvl 30 on your main account no you are not ready,gemma-3-4b,1,sarcastic,The statement uses inflammatory language and dismisses opposing viewpoints with a derogatory remark suggesting sarcasm.,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The statement uses inflammatory language and dismisses opposing viewpoints with a derogatory remark suggesting sarcasm.\""}"""
11,if you're not even lvl 30 on your main account no you are not ready,gemma-3-4b,2,literal,The statement is a straightforward assertion of ownership.,True,"""{\""label\"": \""literal\"", \""explanation\"": \""The statement is a straightforward assertion of ownership.\""}"""
11,if you're not even lvl 30 on your main account no you are not ready,gemma-3-4b,3,sarcastic,"The statement is repetitive and likely indicates an expectation of continued overlap, implying a frustrating situation.",True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The statement is repetitive and likely indicates an expectation of continued overlap, implying a frustrating situation.\""}"""
11,if you're not even lvl 30 on your main account no you are not ready,gemma-3-4b,4,sarcastic,Aston Martin stating it's fake implies doubt and disbelief.,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""Aston Martin stating it's fake implies doubt and disbelief.\""}"""
18,Can confirm they were at the scrimmage.,gemma-3-4b,0,literal,"A simple confirmation of a fact, without implied meaning.",True,"""{\""label\"": \""literal\"", \""explanation\"": \""A simple confirmation of a fact, without implied meaning.\""}"""
18,Can confirm they were at the scrimmage.,gemma-3-4b,1,literal,"The statement indicates a straightforward and uncomplicated design, suggesting a literal assessment.",True,"""{\""label\"": \""literal\"", \""explanation\"": \""The statement indicates a straightforward and uncomplicated design, suggesting a literal assessment.\""}"""
18,Can confirm they were at the scrimmage.,gemma-3-4b,2,sarcastic,"Expressing a wishful thought implies a lack of genuine desire; therefore, it's sarcastic.",True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""Expressing a wishful thought implies a lack of genuine desire; therefore, it's sarcastic.\""}"""
18,Can confirm they were at the scrimmage.,gemma-3-4b,3,sarcastic,"Expresses disappointment about a missed opportunity, delivered with a negative tone.",True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""Expresses disappointment about a missed opportunity, delivered with a negative tone.\""}"""
18,Can confirm they were at the scrimmage.,gemma-3-4b,4,sarcastic,Expressing disbelief or irony through a rhetorical question about work.,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""Expressing disbelief or irony through a rhetorical question about work.\""}"""
24,"Even though its never revealed he is Gay, he is definitely gay for being a male hairdresser right?",gemma-3-4b,0,sarcastic,The statement is clearly mocking and implies the opposite of what is said.,True,"""{\""label\"":\""sarcastic\"",\""explanation\"":\""The statement is clearly mocking and implies the opposite of what is said.\""}"""
24,"Even though its never revealed he is Gay, he is definitely gay for being a male hairdresser right?",gemma-3-4b,1,sarcastic,"The statement implies a frustrating delay despite the oil's continued flow, suggesting a negative outlook.",True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The statement implies a frustrating delay despite the oil's continued flow, suggesting a negative outlook.\""}"""
24,"Even though its never revealed he is Gay, he is definitely gay for being a male hairdresser right?",gemma-3-4b,2,sarcastic,"A pointed jab at someone's lack of focus, indicating disapproval.",True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""A pointed jab at someone's lack of focus, indicating disapproval.\""}"""
24,"Even though its never revealed he is Gay, he is definitely gay for being a male hairdresser right?",gemma-3-4b,3,sarcastic,"This statement implies distrust and suggests a lack of faith in government protection, indicating a sarcastic tone.",True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""This statement implies distrust and suggests a lack of faith in government protection, indicating a sarcastic tone.\""}"""
24,"Even though its never revealed he is Gay, he is definitely gay for being a male hairdresser right?",gemma-3-4b,4,sarcastic,"The speaker is expressing frustration with the game's lack of a new champion, using sarcasm to highlight the disappointment.",True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The speaker is expressing frustration with the game's lack of a new champion, using sarcasm to highlight the disappointment.\""}"""
30,"As a Norwegian, I am livid with their absolute humiliation of my people with this blatant example of cultural appropriation.",gemma-3-4b,0,sarcastic,"Expressing anger and frustration due to perceived injustice, highlighting a dramatic and possibly exaggerated reaction.",True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""Expressing anger and frustration due to perceived injustice, highlighting a dramatic and possibly exaggerated reaction.\""}"""
30,"As a Norwegian, I am livid with their absolute humiliation of my people with this blatant example of cultural appropriation.",gemma-3-4b,1,sarcastic,"Implies a negative experience despite appearing positive, indicating sarcasm.",True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""Implies a negative experience despite appearing positive, indicating sarcasm.\""}"""
30,"As a Norwegian, I am livid with their absolute humiliation of my people with this blatant example of cultural appropriation.",gemma-3-4b,2,sarcastic,The question about a child implies disbelief or criticism of the situation's absurdity reflecting a sarcastic tone.,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The question about a child implies disbelief or criticism of the situation's absurdity reflecting a sarcastic tone.\""}"""
30,"As a Norwegian, I am livid with their absolute humiliation of my people with this blatant example of cultural appropriation.",gemma-3-4b,3,literal,The statement is a factual assertion about the value of something considering inflation.,True,"""{\""label\"": \""literal\"", \""explanation\"": \""The statement is a factual assertion about the value of something considering inflation.\""}"""
30,"As a Norwegian, I am livid with their absolute humiliation of my people with this blatant example of cultural appropriation.",gemma-3-4b,4,sarcastic,A rhetorical question implying the user should be doing something more appropriate.,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""A rhetorical question implying the user should be doing something more appropriate.\""}"""
