model_receiver,model_sender,match_type_extended,total_positive_delta,total_positive_budget,total_negative_delta,total_negative_budget,possible_positive_count,possible_negative_count,count,positive_delta_realisation,negative_delta_realisation
gemma-3-27b,llama-3.3-70b,B(sarcastic):B(literal),166.0,202.7,-15.7,185.3,388,388,388,0.8189442525900346,-0.08472746896923906
gemma-3-27b,qwen-2.5-72b,0:1,1097.5,1123.0,0.0,0.0,1123,0,1123,0.9772929652715939,
gemma-3-27b,qwen-2.5-72b,0:B(sarcastic),714.3,749.0,0.0,0.0,749,0,749,0.9536715620827769,
gemma-3-27b,qwen-2.5-72b,1:0,5303.4,7000.0,0.0,0.0,7000,0,7000,0.7576285714285714,
gemma-3-27b,qwen-2.5-72b,1:B(literal),3796.1,5797.0,0.0,0.0,5797,0,5797,0.6548387096774193,
gemma-3-27b,qwen-2.5-72b,B(literal):1,412.2,419.6,-1.0,461.4,881,881,881,0.9823641563393708,-0.002167316861725184
gemma-3-27b,qwen-2.5-72b,B(literal):B(sarcastic),180.3,185.1,-0.8,208.9,394,394,394,0.9740680713128039,-0.003829583532790809
gemma-3-27b,qwen-2.5-72b,B(sarcastic):0,722.6,786.5,-21.3,760.5,1547,1547,1547,0.9187539732994279,-0.028007889546351087
gemma-3-27b,qwen-2.5-72b,B(sarcastic):B(literal),187.6,208.9,-7.1000000000000005,185.1,394,394,394,0.8980373384394447,-0.038357644516477586
gemma-3-4b,gemma-3-27b,0:1,1969.0,1993.0,0.0,0.0,1993,0,1993,0.9879578524836929,
gemma-3-4b,gemma-3-27b,0:B(sarcastic),294.8,305.0,0.0,0.0,305,0,305,0.9665573770491803,
gemma-3-4b,gemma-3-27b,1:0,4668.6,6131.0,0.0,0.0,6131,0,6131,0.7614744739846682,
gemma-3-4b,gemma-3-27b,1:B(literal),1699.5,2439.0,0.0,0.0,2439,0,2439,0.6968019680196802,
gemma-3-4b,gemma-3-27b,B(literal):1,332.7,334.7,-0.10000000000000009,378.3,713,713,713,0.9940244995518375,-0.0002643404705260378
gemma-3-4b,gemma-3-27b,B(literal):B(sarcastic),39.6,39.8,0.0,38.2,78,78,78,0.9949748743718594,0.0
gemma-3-4b,gemma-3-27b,B(sarcastic):0,202.8,214.6,-3.7,196.4,411,411,411,0.9450139794967382,-0.01883910386965377
gemma-3-4b,gemma-3-27b,B(sarcastic):B(literal),35.9,38.2,-0.19999999999999998,39.8,78,78,78,0.9397905759162303,-0.005025125628140704
gemma-3-4b,gemma-3-4b,B(literal):B(sarcastic),545.7,570.9,-7.0,631.1,1202,1202,1202,0.9558591697320022,-0.011091744572967834
gemma-3-4b,gemma-3-4b,B(sarcastic):B(literal),532.9,631.1,-44.2,570.9,1202,1202,1202,0.8443986689906512,-0.07742161499386933
llama-3.1-8b,llama-3.1-8b,B(literal):B(sarcastic),1790.4,2121.4,-44.800000000000004,4878.6,7000,7000,7000,0.8439709625718865,-0.009182962325257246
llama-3.1-8b,llama-3.1-8b,B(sarcastic):B(literal),21.5,4878.6,-1914.8,2121.4,7000,7000,7000,0.0044070020087730085,-0.9026114829829357
llama-3.1-8b,llama-3.3-70b,0:1,16.9,20.0,0.0,0.0,20,0,20,0.845,
llama-3.1-8b,llama-3.3-70b,0:B(sarcastic),6.0,7.0,0.0,0.0,7,0,7,0.8571428571428571,
llama-3.1-8b,llama-3.3-70b,1:0,21.400000000000002,7000.0,0.0,0.0,7000,0,7000,0.0030571428571428572,
llama-3.1-8b,llama-3.3-70b,1:B(literal),10.1,7000.0,0.0,0.0,7000,0,7000,0.0014428571428571429,
llama-3.1-8b,llama-3.3-70b,B(literal):1,1433.5,1536.3,-22.500000000000004,4789.7,6326,6326,6326,0.9330859858100632,-0.004697580224231164
llama-3.1-8b,llama-3.3-70b,B(literal):B(sarcastic),591.8,649.8,-11.800000000000002,1724.2,2374,2374,2374,0.9107417666974453,-0.006843753624869506
llama-3.1-8b,llama-3.3-70b,B(sarcastic):0,13.0,4531.8,-2256.3,2468.2,7000,7000,7000,0.0028686173264486515,-0.9141479620776276
llama-3.1-8b,llama-3.3-70b,B(sarcastic):B(literal),1.3,1724.2,-626.6,649.8,2374,2374,2374,0.0007539728569771489,-0.9642967066789783
llama-3.3-70b,gemma-3-27b,0:1,6080.2,7000.0,0.0,0.0,7000,0,7000,0.8685999999999999,
llama-3.3-70b,gemma-3-27b,0:B(sarcastic),1608.8,2036.0,0.0,0.0,2036,0,2036,0.7901768172888015,
llama-3.3-70b,gemma-3-27b,1:0,137.0,421.0,0.0,0.0,421,0,421,0.3254156769596199,
llama-3.3-70b,gemma-3-27b,1:B(literal),141.0,398.0,0.0,0.0,398,0,398,0.3542713567839196,
llama-3.3-70b,gemma-3-27b,B(literal):1,3296.6,3427.2,-39.1,3572.8,7000,7000,7000,0.9618930905695612,-0.010943797581728617
llama-3.3-70b,gemma-3-27b,B(literal):B(sarcastic),205.3,214.1,-2.7,173.9,388,388,388,0.9588977113498366,-0.015526164462334676
llama-3.3-70b,gemma-3-27b,B(sarcastic):0,112.1,237.0,-91.9,287.0,524,524,524,0.4729957805907173,-0.3202090592334495
llama-3.3-70b,gemma-3-27b,B(sarcastic):B(literal),74.1,173.9,-69.4,214.1,388,388,388,0.4261069580218516,-0.32414759458197107
llama-3.3-70b,gpt-oss-20b,0:1,240.0,267.0,0.0,0.0,267,0,267,0.898876404494382,
llama-3.3-70b,gpt-oss-20b,0:B(sarcastic),6003.4,7000.0,0.0,0.0,7000,0,7000,0.8576285714285714,
llama-3.3-70b,gpt-oss-20b,1:0,1759.1,7000.0,0.0,0.0,7000,0,7000,0.25129999999999997,
llama-3.3-70b,gpt-oss-20b,1:B(literal),745.6,7000.0,0.0,0.0,7000,0,7000,0.10651428571428571,
llama-3.3-70b,gpt-oss-20b,B(literal):1,159.6,163.9,-0.5999999999999999,181.1,345,345,345,0.973764490543014,-0.003313086692435118
llama-3.3-70b,gpt-oss-20b,B(literal):B(sarcastic),2886.5,2997.3,-35.6,3218.7,6216,6216,6216,0.9630333967237179,-0.011060365986267749
llama-3.3-70b,gpt-oss-20b,B(sarcastic):0,681.7,1829.5,-677.1,1912.5,3742,3742,3742,0.3726154687072971,-0.3540392156862745
llama-3.3-70b,gpt-oss-20b,B(sarcastic):B(literal),899.3000000000001,3218.7,-1360.1,2997.3,6216,6216,6216,0.2793985149283873,-0.4537750642244686
llama-3.3-70b,llama-3.1-8b,0:1,4702.4,7000.0,0.0,0.0,7000,0,7000,0.6717714285714286,
llama-3.3-70b,llama-3.1-8b,0:B(sarcastic),4098.2,7000.0,0.0,0.0,7000,0,7000,0.5854571428571428,
llama-3.3-70b,llama-3.1-8b,1:0,3.0,20.0,0.0,0.0,20,0,20,0.15,
llama-3.3-70b,llama-3.1-8b,1:B(literal),581.2,6326.0,0.0,0.0,6326,0,6326,0.09187480240278217,
llama-3.3-70b,llama-3.1-8b,B(literal):1,3010.9,3392.4,-100.2,3607.6,7000,7000,7000,0.8875427426011083,-0.02777469786007318
llama-3.3-70b,llama-3.1-8b,B(literal):B(sarcastic),1119.8,1216.9,-16.6,1157.1,2374,2374,2374,0.9202070835730133,-0.014346210353469883
llama-3.3-70b,llama-3.1-8b,B(sarcastic):0,1.2000000000000002,3.6,-1.5,3.4,7,7,7,0.33333333333333337,-0.4411764705882353
llama-3.3-70b,llama-3.1-8b,B(sarcastic):B(literal),237.2,1157.1,-735.7,1216.9,2374,2374,2374,0.2049952467375335,-0.6045689867696606
llama-3.3-70b,llama-3.3-70b,B(literal):B(sarcastic),2848.5,3441.9,-271.6,3558.1,7000,7000,7000,0.8275952235683779,-0.07633287428683849
llama-3.3-70b,llama-3.3-70b,B(sarcastic):B(literal),707.6,3558.1,-2140.7,3441.9,7000,7000,7000,0.198870183524915,-0.6219529910805078
llama-3.3-70b,qwen-2.5-72b,0:1,5618.3,7000.0,0.0,0.0,7000,0,7000,0.8026142857142857,
llama-3.3-70b,qwen-2.5-72b,0:B(sarcastic),2386.9,3266.0,0.0,0.0,3266,0,3266,0.7308328230251072,
llama-3.3-70b,qwen-2.5-72b,1:0,490.1,2404.0,0.0,0.0,2404,0,2404,0.2038685524126456,
llama-3.3-70b,qwen-2.5-72b,1:B(literal),421.4,2471.0,0.0,0.0,2471,0,2471,0.17053824362606232,
llama-3.3-70b,qwen-2.5-72b,B(literal):1,3060.9,3342.8,-101.8,3657.2,7000,7000,7000,0.9156694986239081,-0.02783550257027234
llama-3.3-70b,qwen-2.5-72b,B(literal):B(sarcastic),562.1,610.2,-19.6,592.8,1203,1203,1203,0.9211733857751556,-0.03306342780026991
llama-3.3-70b,qwen-2.5-72b,B(sarcastic):0,245.7,802.3,-463.8,935.7,1738,1738,1738,0.3062445469275832,-0.4956716896441167
llama-3.3-70b,qwen-2.5-72b,B(sarcastic):B(literal),152.8,592.8,-335.5,610.2,1203,1203,1203,0.2577597840755736,-0.5498197312356604
qwen-2.5-72b,gemma-3-27b,0:1,2799.5,7000.0,0.0,0.0,7000,0,7000,0.3999285714285714,
qwen-2.5-72b,gemma-3-27b,0:B(sarcastic),398.0,1547.0,0.0,0.0,1547,0,1547,0.2572721396250808,
qwen-2.5-72b,gemma-3-27b,1:0,668.7,1123.0,0.0,0.0,1123,0,1123,0.5954585930543188,
qwen-2.5-72b,gemma-3-27b,1:B(literal),489.4,881.0,0.0,0.0,881,0,881,0.555505107832009,
qwen-2.5-72b,gemma-3-27b,B(literal):1,1543.8,2714.7,-491.4,3082.3,5797,5797,5797,0.5686816222787049,-0.1594264023618726
qwen-2.5-72b,gemma-3-27b,B(literal):B(sarcastic),90.6,195.2,-52.0,198.8,394,394,394,0.4641393442622951,-0.26156941649899396
qwen-2.5-72b,gemma-3-27b,B(sarcastic):0,285.8,374.5,-22.2,374.5,749,749,749,0.7631508678237651,-0.05927903871829105
qwen-2.5-72b,gemma-3-27b,B(sarcastic):B(literal),139.1,198.8,-18.1,195.2,394,394,394,0.6996981891348087,-0.09272540983606559
qwen-2.5-72b,gpt-oss-20b,0:1,50.7,81.0,0.0,0.0,81,0,81,0.625925925925926,
qwen-2.5-72b,gpt-oss-20b,0:B(sarcastic),2203.4,5128.0,0.0,0.0,5128,0,5128,0.4296801872074883,
qwen-2.5-72b,gpt-oss-20b,1:0,2756.5,7000.0,0.0,0.0,7000,0,7000,0.3937857142857143,
qwen-2.5-72b,gpt-oss-20b,1:B(literal),980.7,7000.0,0.0,0.0,7000,0,7000,0.1401,
qwen-2.5-72b,gpt-oss-20b,B(literal):1,41.2,52.1,-4.1,57.9,110,110,110,0.7907869481765836,-0.07081174438687392
qwen-2.5-72b,gpt-oss-20b,B(literal):B(sarcastic),1033.1,1642.0,-265.3,1883.0,3525,3525,3525,0.629171741778319,-0.14089219330855018
qwen-2.5-72b,gpt-oss-20b,B(sarcastic):0,1204.1,1714.7,-117.9,1590.3,3305,3305,3305,0.702221963025602,-0.07413695529145445
qwen-2.5-72b,gpt-oss-20b,B(sarcastic):B(literal),1057.9,1883.0,-256.1,1642.0,3525,3525,3525,0.5618162506638343,-0.1559683313032887
qwen-2.5-72b,llama-3.3-70b,0:1,245.5,2404.0,0.0,0.0,2404,0,2404,0.10212146422628952,
qwen-2.5-72b,llama-3.3-70b,0:B(sarcastic),119.7,1738.0,0.0,0.0,1738,0,1738,0.0688722669735328,
qwen-2.5-72b,llama-3.3-70b,1:0,911.3,7000.0,0.0,0.0,7000,0,7000,0.13018571428571427,
qwen-2.5-72b,llama-3.3-70b,1:B(literal),527.8,7000.0,0.0,0.0,7000,0,7000,0.0754,
qwen-2.5-72b,llama-3.3-70b,B(literal):1,159.0,1120.1,-850.2,1350.9,2471,2471,2471,0.1419516114632622,-0.629358205640684
qwen-2.5-72b,llama-3.3-70b,B(literal):B(sarcastic),64.1,580.1,-420.8,622.9,1203,1203,1203,0.11049818996724702,-0.6755498474875582
qwen-2.5-72b,llama-3.3-70b,B(sarcastic):0,384.3,1681.8,-746.4,1584.2,3266,3266,3266,0.2285051730288976,-0.4711526322434036
qwen-2.5-72b,llama-3.3-70b,B(sarcastic):B(literal),108.2,622.9,-332.4,580.1,1203,1203,1203,0.1737036442446621,-0.5730046543699362
qwen-2.5-72b,qwen-2.5-72b,B(literal):B(sarcastic),1232.6,3284.4,-1183.6,3655.6,6940,6940,6940,0.3752892461332359,-0.3237772185140606
qwen-2.5-72b,qwen-2.5-72b,B(sarcastic):B(literal),1749.1,3655.6,-826.1,3284.4,6940,6940,6940,0.4784713863661232,-0.25152234806966267
qwen-2.5-72b,qwen-2.5-7b,0:1,752.6,7000.0,0.0,0.0,7000,0,7000,0.10751428571428572,
qwen-2.5-72b,qwen-2.5-7b,0:B(sarcastic),23.7,465.0,0.0,0.0,465,0,465,0.05096774193548387,
qwen-2.5-72b,qwen-2.5-7b,1:0,23.1,128.0,0.0,0.0,128,0,128,0.18046875,
qwen-2.5-72b,qwen-2.5-7b,1:B(literal),12.6,85.0,0.0,0.0,85,0,85,0.14823529411764705,
qwen-2.5-72b,qwen-2.5-7b,B(literal):1,592.3,3209.5,-1790.1,3580.5,6790,6790,6790,0.18454587942047046,-0.49995810640971927
qwen-2.5-72b,qwen-2.5-7b,B(literal):B(sarcastic),3.3,27.7,-16.7,27.3,55,55,55,0.11913357400722022,-0.6117216117216117
qwen-2.5-72b,qwen-2.5-7b,B(sarcastic):0,12.9,47.8,-17.5,47.2,95,95,95,0.2698744769874477,-0.37076271186440674
qwen-2.5-72b,qwen-2.5-7b,B(sarcastic):B(literal),8.1,27.3,-13.7,27.7,55,55,55,0.2967032967032967,-0.49458483754512633
qwen-2.5-7b,qwen-2.5-72b,0:1,96.2,128.0,0.0,0.0,128,0,128,0.7515625,
qwen-2.5-7b,qwen-2.5-72b,0:B(sarcastic),73.3,95.0,0.0,0.0,95,0,95,0.771578947368421,
qwen-2.5-7b,qwen-2.5-72b,1:0,1344.3,7000.0,0.0,0.0,7000,0,7000,0.19204285714285713,
qwen-2.5-7b,qwen-2.5-72b,1:B(literal),757.8,6790.0,0.0,0.0,6790,0,6790,0.11160530191458026,
qwen-2.5-7b,qwen-2.5-72b,B(literal):1,34.0,43.8,-4.8,41.2,85,85,85,0.7762557077625571,-0.11650485436893203
qwen-2.5-7b,qwen-2.5-72b,B(literal):B(sarcastic),20.900000000000002,26.7,-1.9,28.3,55,55,55,0.7827715355805245,-0.06713780918727914
qwen-2.5-7b,qwen-2.5-72b,B(sarcastic):0,63.4,228.5,-99.0,236.5,465,465,465,0.2774617067833698,-0.4186046511627907
qwen-2.5-7b,qwen-2.5-72b,B(sarcastic):B(literal),7.6000000000000005,28.3,-12.7,26.7,55,55,55,0.26855123674911663,-0.4756554307116105
qwen-2.5-7b,qwen-2.5-7b,B(literal):B(sarcastic),193.0,307.0,-41.6,298.0,605,605,605,0.6286644951140065,-0.13959731543624163
qwen-2.5-7b,qwen-2.5-7b,B(sarcastic):B(literal),62.9,298.0,-157.3,307.0,605,605,605,0.2110738255033557,-0.5123778501628665
